State,efficiency_gap,partisan_bias,d_seats,r_seats,d_count_0,r_count_0,d_count_1,r_count_1,d_count_2,r_count_2,d_count_3,r_count_3,d_count_4,r_count_4,d_count_5,r_count_5,d_count_6,r_count_6,d_count_7,r_count_7
46,-0.14916360562244182,-0.125,3,5,219267,110598,118076,217338,179355,190066,158434,210143,175819,157669,153572,215432,139132,194961,266120,80921
47,-0.15084540079077025,-0.125,3,5,219267,110598,118076,217338,179355,190066,158434,210143,175819,157669,152745,220946,139132,194961,266947,75407
48,-0.15084540079077025,-0.125,3,5,219267,110598,117715,219233,179355,190066,158434,210143,175819,157669,152745,220946,139493,193066,266947,75407
49,-0.15084540079077025,-0.125,3,5,219267,110598,119227,219486,179355,190066,158434,210143,175819,157669,152745,220946,137981,192813,266947,75407
50,-0.15024473402913557,-0.125,3,5,219267,110598,119310,217729,179355,190066,158434,210143,175736,159426,152745,220946,137981,192813,266947,75407
51,-0.1432509491718944,-0.125,3,5,217385,131971,119310,217729,179355,190066,160316,188770,175736,159426,152745,220946,137981,192813,266947,75407
52,-0.14341098344649958,-0.125,3,5,158597,190935,119310,217729,179355,190066,219104,129806,175736,159426,152745,220946,137981,192813,266947,75407
53,-0.14341098344649958,-0.125,3,5,158597,190935,119310,217729,143321,197861,219104,129806,175736,159426,152745,220946,174015,185018,266947,75407
54,-0.1438831922029579,-0.125,3,5,158597,190935,119310,217729,143321,197861,219104,129806,175736,159426,152745,220946,174737,185612,266225,74813
55,-0.1438831922029579,-0.125,3,5,159028,191221,118879,217443,143321,197861,219104,129806,175736,159426,152745,220946,174737,185612,266225,74813
56,-0.1438831922029579,-0.125,3,5,171150,205856,118879,217443,143321,197861,219104,129806,175736,159426,140623,206311,174737,185612,266225,74813
57,-0.1457774095474439,-0.125,3,5,171150,205856,118879,217443,143321,197861,217917,125714,175736,159426,141810,210403,174737,185612,266225,74813
