map,efficiencygap,seatswon,meanmedian,district,presd,countd,voteshareD,voteshareR
1,0.2682825702939787,2,-0.01687915993202815,1,138665,172551,0.495612611551685,0.504387388448315
1,0.2682825702939787,2,-0.01687915993202815,2,123329,123809,0.34989811865714454,0.6501018813428554
1,0.2682825702939787,2,-0.01687915993202815,3,273402,266123,0.7992881814086199,0.2007118185913801
1,0.2682825702939787,2,-0.01687915993202815,4,201833,186191,0.487735300435368,0.5122646995646319
1,0.2682825702939787,2,-0.01687915993202815,5,104566,126683,0.38483363660389625,0.6151663633961038
1,0.2682825702939787,2,-0.01687915993202815,6,130831,137984,0.4184757225608832,0.5815242774391168
1,0.2682825702939787,2,-0.01687915993202815,7,171287,180019,0.4921012418777695,0.5078987581222305
1,0.2682825702939787,2,-0.01687915993202815,8,223803,216415,0.626434635613409,0.37356536438659105
2,0.2682825702939787,2,-0.01687915993202815,1,138665,172551,0.495612611551685,0.504387388448315
2,0.2682825702939787,2,-0.01687915993202815,2,123329,123809,0.34989811865714454,0.6501018813428554
2,0.2682825702939787,2,-0.01687915993202815,3,273402,266123,0.7992881814086199,0.2007118185913801
2,0.2682825702939787,2,-0.01687915993202815,4,201833,186191,0.487735300435368,0.5122646995646319
2,0.2682825702939787,2,-0.01687915993202815,5,104566,126683,0.38483363660389625,0.6151663633961038
2,0.2682825702939787,2,-0.01687915993202815,6,130831,137984,0.4184757225608832,0.5815242774391168
2,0.2682825702939787,2,-0.01687915993202815,7,171287,180019,0.4921012418777695,0.5078987581222305
2,0.2682825702939787,2,-0.01687915993202815,8,223803,216415,0.626434635613409,0.37356536438659105
3,0.2682825702939787,2,-0.02222358752231013,1,141640,168429,0.48119959202214735,0.5188004079778527
3,0.2682825702939787,2,-0.02222358752231013,2,120354,127931,0.36345995948644955,0.6365400405135504
3,0.2682825702939787,2,-0.02222358752231013,3,273402,266123,0.7992881814086199,0.2007118185913801
3,0.2682825702939787,2,-0.02222358752231013,4,201833,186191,0.487735300435368,0.5122646995646319
3,0.2682825702939787,2,-0.02222358752231013,5,104566,126683,0.38483363660389625,0.6151663633961038
3,0.2682825702939787,2,-0.02222358752231013,6,130831,137984,0.4184757225608832,0.5815242774391168
3,0.2682825702939787,2,-0.02222358752231013,7,171287,180019,0.4921012418777695,0.5078987581222305
3,0.2682825702939787,2,-0.02222358752231013,8,223803,216415,0.626434635613409,0.37356536438659105
4,0.13130399586924985,3,-0.01786632904810065,1,141640,168429,0.48119959202214735,0.5188004079778527
4,0.13130399586924985,3,-0.01786632904810065,2,120354,127931,0.36345995948644955,0.6365400405135504
4,0.13130399586924985,3,-0.01786632904810065,3,276333,265155,0.7542497752796204,0.2457502247203796
4,0.13130399586924985,3,-0.01786632904810065,4,198902,187159,0.5153794045402976,0.4846205954597024
4,0.13130399586924985,3,-0.01786632904810065,5,104566,126683,0.38483363660389625,0.6151663633961038
4,0.13130399586924985,3,-0.01786632904810065,6,130831,137984,0.4184757225608832,0.5815242774391168
4,0.13130399586924985,3,-0.01786632904810065,7,171287,180019,0.4921012418777695,0.5078987581222305
4,0.13130399586924985,3,-0.01786632904810065,8,223803,216415,0.626434635613409,0.37356536438659105
5,0.13130399586924985,3,-0.01786632904810065,1,141640,168429,0.48119959202214735,0.5188004079778527
5,0.13130399586924985,3,-0.01786632904810065,2,120354,127931,0.36345995948644955,0.6365400405135504
5,0.13130399586924985,3,-0.01786632904810065,3,276333,265155,0.7542497752796204,0.2457502247203796
5,0.13130399586924985,3,-0.01786632904810065,4,198902,187159,0.5153794045402976,0.4846205954597024
5,0.13130399586924985,3,-0.01786632904810065,5,104566,126683,0.38483363660389625,0.6151663633961038
5,0.13130399586924985,3,-0.01786632904810065,6,130831,137984,0.4184757225608832,0.5815242774391168
5,0.13130399586924985,3,-0.01786632904810065,7,171287,180019,0.4921012418777695,0.5078987581222305
5,0.13130399586924985,3,-0.01786632904810065,8,223803,216415,0.626434635613409,0.37356536438659105
6,0.13130399586924985,3,-0.01786632904810065,1,141640,168429,0.48119959202214735,0.5188004079778527
6,0.13130399586924985,3,-0.01786632904810065,2,120354,127931,0.36345995948644955,0.6365400405135504
6,0.13130399586924985,3,-0.01786632904810065,3,276333,265155,0.7542497752796204,0.2457502247203796
6,0.13130399586924985,3,-0.01786632904810065,4,198902,187159,0.5153794045402976,0.4846205954597024
6,0.13130399586924985,3,-0.01786632904810065,5,104566,126683,0.38483363660389625,0.6151663633961038
6,0.13130399586924985,3,-0.01786632904810065,6,130831,137984,0.4184757225608832,0.5815242774391168
6,0.13130399586924985,3,-0.01786632904810065,7,171287,180019,0.4921012418777695,0.5078987581222305
6,0.13130399586924985,3,-0.01786632904810065,8,223803,216415,0.626434635613409,0.37356536438659105
7,0.13130399586924985,3,-0.01786632904810065,1,120354,127931,0.36345995948644955,0.6365400405135504
7,0.13130399586924985,3,-0.01786632904810065,2,141640,168429,0.48119959202214735,0.5188004079778527
7,0.13130399586924985,3,-0.01786632904810065,3,276333,265155,0.7542497752796204,0.2457502247203796
7,0.13130399586924985,3,-0.01786632904810065,4,198902,187159,0.5153794045402976,0.4846205954597024
7,0.13130399586924985,3,-0.01786632904810065,5,104566,126683,0.38483363660389625,0.6151663633961038
7,0.13130399586924985,3,-0.01786632904810065,6,130831,137984,0.4184757225608832,0.5815242774391168
7,0.13130399586924985,3,-0.01786632904810065,7,171287,180019,0.4921012418777695,0.5078987581222305
7,0.13130399586924985,3,-0.01786632904810065,8,223803,216415,0.626434635613409,0.37356536438659105
8,0.13130399586924985,3,-0.0183346086099585,1,120354,127931,0.36345995948644955,0.6365400405135504
8,0.13130399586924985,3,-0.0183346086099585,2,141640,168429,0.48119959202214735,0.5188004079778527
8,0.13130399586924985,3,-0.0183346086099585,3,276333,265155,0.7542497752796204,0.2457502247203796
8,0.13130399586924985,3,-0.0183346086099585,4,198902,187159,0.5153794045402976,0.4846205954597024
8,0.13130399586924985,3,-0.0183346086099585,5,171965,180966,0.49097361267112694,0.5090263873288731
8,0.13130399586924985,3,-0.0183346086099585,6,130831,137984,0.4184757225608832,0.5815242774391168
8,0.13130399586924985,3,-0.0183346086099585,7,103888,125736,0.38519698547883097,0.614803014521169
8,0.13130399586924985,3,-0.0183346086099585,8,223803,216415,0.626434635613409,0.37356536438659105
9,0.13130399586924985,3,-0.0183346086099585,1,120354,127931,0.36345995948644955,0.6365400405135504
9,0.13130399586924985,3,-0.0183346086099585,2,141640,168429,0.48119959202214735,0.5188004079778527
9,0.13130399586924985,3,-0.0183346086099585,3,276333,265155,0.7542497752796204,0.2457502247203796
9,0.13130399586924985,3,-0.0183346086099585,4,198902,187159,0.5153794045402976,0.4846205954597024
9,0.13130399586924985,3,-0.0183346086099585,5,171965,180966,0.49097361267112694,0.5090263873288731
9,0.13130399586924985,3,-0.0183346086099585,6,130831,137984,0.4184757225608832,0.5815242774391168
