State,efficiency_gap,partisan_bias,d_seats,r_seats,d_count_0,r_count_0,d_count_1,r_count_1,d_count_2,r_count_2,d_count_3,r_count_3,d_count_4,r_count_4,d_count_5,r_count_5,d_count_6,r_count_6,d_count_7,r_count_7
3115,-0.12766052496265567,-0.125,3,5,244770,109436,181731,166665,169412,169728,247337,120382,154817,195949,128633,199667,128915,213083,154160,202218
3116,-0.12962686537708704,-0.125,3,5,244770,109436,181731,166665,169412,169728,155375,206483,154817,195949,128633,199667,128915,213083,246122,116117
3117,-0.1293039262579286,-0.125,3,5,152698,208260,181731,166665,169412,169728,247447,107659,154817,195949,128633,199667,128915,213083,246122,116117
3118,-0.1293039262579286,-0.125,3,5,152698,208260,181731,166665,156304,190549,247447,107659,167925,175128,128633,199667,128915,213083,246122,116117
3119,-0.1293039262579286,-0.125,3,5,152698,208260,181731,166665,128194,211436,247447,107659,167925,175128,128633,199667,157025,192196,246122,116117
3120,-0.13415411300644478,-0.125,3,5,152698,208260,181731,166665,128194,211436,247447,107659,167925,175128,128633,199667,159212,203526,243935,104787
3121,-0.1353647758820454,-0.125,3,5,152698,208260,156590,209522,128194,211436,247447,107659,167925,175128,128633,199667,184353,160669,243935,104787
3122,-0.1353647758820454,-0.125,3,5,152698,208260,156590,209522,128194,211436,263596,82071,167925,175128,128633,199667,184353,160669,227786,130375
3123,-0.1353647758820454,-0.125,3,5,152698,208260,156163,209053,128621,211905,263596,82071,167925,175128,128633,199667,184353,160669,227786,130375
3124,-0.1353647758820454,-0.125,3,5,129219,218127,156163,209053,128621,211905,263596,82071,167925,175128,152112,189800,184353,160669,227786,130375
3125,-0.13841116823943997,-0.125,3,5,129219,218127,262560,74617,128621,211905,157199,216507,167925,175128,152112,189800,184353,160669,227786,130375
3126,-0.015203794319357365,0.0,4,4,129219,218127,262560,74617,178308,165059,157199,216507,118238,221974,152112,189800,184353,160669,227786,130375
3127,-0.139005017397448,-0.125,3,5,129219,218127,262560,74617,178308,165059,160202,187035,118238,221974,152112,189800,181350,190141,227786,130375
3128,-0.139005017397448,-0.125,3,5,149399,208543,262560,74617,178308,165059,160202,187035,118238,221974,131932,199384,181350,190141,227786,130375
3129,-0.009243055822179673,0.0,4,4,149399,208543,262560,74617,178308,165059,155144,201950,118238,221974,131932,199384,186408,175226,227786,130375
3130,-0.009243055822179673,0.0,4,4,149399,208543,262560,74617,178308,165059,155144,201950,118238,221974,131932,199384,186066,155295,228128,150306
3131,-0.009243055822179673,0.0,4,4,123455,209104,262560,74617,178308,165059,155144,201950,118238,221974,157876,198823,186066,155295,228128,150306
3132,-0.1324504297422623,-0.125,3,5,123455,209104,262560,74617,122335,210235,155144,201950,174211,176798,157876,198823,186066,155295,228128,150306
3133,-0.12650655584352954,-0.125,3,5,123455,209104,155042,185487,122335,210235,262662,91080,174211,176798,157876,198823,186066,155295,228128,150306
3134,-0.12761495466473,-0.125,3,5,123455,209104,259082,91571,122335,210235,158622,184996,174211,176798,157876,198823,186066,155295,228128,150306
3135,-0.12761495466473,-0.125,3,5,156462,198868,259082,91571,122335,210235,158622,184996,174211,176798,124869,209059,186066,155295,228128,150306
3136,-0.12761495466473,-0.125,3,5,156462,198868,259082,91571,159732,188012,121225,207219,174211,176798,124869,209059,186066,155295,228128,150306
